Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
16391.92657,18096,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,0
16033.93062,18391,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
16106.82722,19465,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
16551.21957,19531,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,1
17325.26954,19894,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
16078.66549,22779,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,1
15297.83597,23062,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
15505.29381,24239,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
15174.34661,27887,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
14546.88481,33374,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
17803.27909,12303,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
16353.09652,16078,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,0
15977.91108,17053,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
15568.97424,18206,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15589.78048,21307,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15730.04627,21391,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
15802.65286,21461,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15086.89959,27438,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
14396.27056,31424,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
14869.28207,31791,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
16927.77976,2973,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
17418.06873,4463,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,0,1
16379.0987,8754,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,0
16706.67407,9150,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
17214.32508,12610,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
15821.94972,14304,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
14398.92269,21688,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
15622.1211,23217,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
14909.05099,23323,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,1
14853.19901,24270,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
31849.30795,16956,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
32649.76051,16975,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
29961.25494,20015,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
31554.40533,20103,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
29914.37958,22105,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
30575.24882,22298,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
30271.9223,23426,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
28678.07525,25380,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
28829.028,26503,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
26955.0412,31773,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
33005.77996,6409,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
30661.26015,14278,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
30443.8799,15050,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
30322.15057,16225,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
31153.00896,17317,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
31084.93761,18187,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
31156.59579,18805,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
29114.54451,21960,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
25845.20611,36557,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
24903.47774,40719,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
30959.93213,17673,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
29986.7915,18464,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
29908.18098,19830,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
28328.26654,20685,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
29197.7913,20907,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
29321.08251,21545,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
29481.52876,21822,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
26792.30016,25357,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
27788.81324,26786,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
26012.37462,34269,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
27280.98206,4836,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,1,0
25959.12203,17431,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,0,1
23274.48071,21616,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,1,0
23329.20826,25218,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,0,1
